word,node-label,new-val
(ระเบียง - ADV),neg,-0.684887459807074
(ล่อลวง - ADJ),neg,-0.6842443729903537
(จ้าง - ADV),neg,-0.6836012861736335
(ตุ๊กตุ๊กดี - VERB),neg,-0.6829581993569132
(คดเคี้ยว - VERB),neg,-0.682315112540193
(ขอบใจ - VERB),neg,-0.6816720257234726
(แออัดยัดเยียด - VERB),neg,-0.6810289389067524
(ถนนสกปรก - ADV),neg,-0.6803858520900321
(สปีดอส - VERB),neg,-0.6797427652733119
(กปรก - VERB),neg,-0.6790996784565917
(คฤหาสน์ - VERB),neg,-0.6784565916398714
(ใส่ใจ - ADV),neg,-0.6778135048231512
(สมควร - ADJ),neg,-0.6771704180064309
(ล้อม - ADJ),neg,-0.6765273311897106
(แจ็คอัพ - VERB),neg,-0.6758842443729903
(เหยียด - VERB),neg,-0.6752411575562701
(คุณสมบัติ - VERB),neg,-0.6745980707395498
(สงสัย - ADJ),neg,-0.6739549839228296
(แสง - VERB),neg,-0.6733118971061093
(จู่โจม - VERB),neg,-0.6726688102893891
(บำบัด - VERB),neg,-0.6720257234726688
(สื่อสาร - VERB),neg,-0.6713826366559486
(รัสเซีย - ADJ),neg,-0.6707395498392283
(ยากลำบาก - ADJ),neg,-0.670096463022508
(การกุศล - VERB),neg,-0.6694533762057878
(ยาวเหยียด - VERB),neg,-0.6688102893890675
(โคลน - VERB),neg,-0.6681672025723473
(เกวียน - VERB),neg,-0.667524115755627
(แปลกใหม่ - VERB),neg,-0.6668810289389068
(หนาแน่น - VERB),neg,-0.6662379421221865
(poooooof - VERB),neg,-0.6655948553054662
(กุญแจ - VERB),neg,-0.6649517684887459
(จูงใจ - VERB),neg,-0.6643086816720257
(จุดหมายปลายทาง - VERB),neg,-0.6636655948553055
(คุณคาด - VERB),neg,-0.6630225080385852
(คัดค้าน - VERB),neg,-0.662379421221865
(ยุง - VERB),neg,-0.6617363344051447
(ไนทอน - VERB),neg,-0.6610932475884245
(แฟน - VERB),neg,-0.6604501607717042
(สูท - VERB),neg,-0.659807073954984
(ไว้วางใจ - VERB),neg,-0.6591639871382636
(เศร้ามาก - ADJ),neg,-0.6585209003215434
(หนักหน่วง - ADJ),neg,-0.6578778135048231
(การค้า - VERB),neg,-0.6572347266881029
(ยุ่งเหยิง - VERB),neg,-0.6565916398713826
(สปา - ADV),neg,-0.6559485530546624
(นวด - ADJ),neg,-0.6553054662379422
(เฝ้า - VERB),neg,-0.6546623794212219
(ร่มรื่น - ADJ),neg,-0.6540192926045016
(x - ADJ),neg,-0.6533762057877813
(ต้านทาน - VERB),neg,-0.6527331189710611
(ดูด - ADJ),neg,-0.6520900321543408
(ช้อปปิ้ง - ADV),neg,-0.6514469453376206
(โต๊ะ - VERB),neg,-0.6508038585209003
(หลบหนี - VERB),neg,-0.6501607717041801
